,release_year
0,2020
1,2021
2,2021
3,2021
4,2021
5,2021
6,2021
8,2021
9,2021
10,2021
11,2021
12,2021
13,2021
14,2021
15,2021
16,2020
17,2020
18,2021
19,2021
20,2021
21,2018
23,2021
24,1998
25,2021
26,1997
27,2010
28,2013
29,2013
30,2021
31,2021
32,2020
33,2021
34,2020
35,2021
36,2021
37,2018
38,2017
39,2021
40,2021
45,2021
46,2012
47,2020
48,2001
49,2021
50,2014
51,2002
52,2003
53,2004
54,2001
55,2021
56,2011
57,2008
58,2009
59,2007
60,2010
61,2005
62,2006
63,2004
64,2021
65,2021
66,2014
68,2021
69,2015
70,2021
71,2021
72,2021
73,2018
74,2021
75,2021
76,2013
77,2021
78,2020
79,2021
80,2021
81,2021
82,2021
83,2021
84,2020
85,2021
86,2021
87,2019
88,2021
89,2017
90,2019
91,2021
92,2021
93,2021
94,2018
95,2021
96,2018
97,2021
98,2021
99,2021
100,2019
101,2021
102,2021
103,2020
104,2016
105,2017
106,2021
107,2018
108,2021
109,2021
110,2021
111,2021
112,2021
113,2021
115,2009
116,2015
117,2021
118,2017
119,2020
120,2021
121,2019
122,2003
123,2012
124,2013
125,2021
126,2020
127,2004
128,2017
129,2005
130,2021
132,2021
133,2015
136,2003
137,2001
138,2010
140,2014
141,2015
142,2007
143,2011
147,2021
148,2020
149,1998
150,1999
151,2005
152,2016
153,2016
154,2015
156,2010
157,2018
158,2003
159,2010
162,2017
163,2003
164,1999
165,2019
167,2008
168,2001
169,2006
170,1997
171,2017
172,2003
173,2015
174,2003
178,2014
180,2000
181,2021
182,2008
184,2021
185,2021
186,2021
187,2021
188,2008
189,2020
190,2021
191,2017
192,2008
193,2021
194,2002
195,2008
196,2021
197,2021
198,2021
199,2006
200,2004
201,2003
202,2005
203,2016
204,2012
205,2001
206,2010
207,2008
208,2010
209,2013
210,2011
211,2014
212,2016
213,2021
214,2021
215,2007
216,2011
217,2011
218,2021
219,2021
220,2021
221,2021
222,2021
223,2021
224,2021
225,2021
226,2021
227,2020
228,2014
229,2020
230,2021
231,2021
232,2019
233,2021
234,2021
235,2021
236,2021
237,2021
238,2021
239,2021
240,2021
241,2021
242,2021
243,2021
244,2018
245,2021
246,2021
247,2021
248,2021
249,2021
250,2020
251,2011
252,2021
254,2021
255,2021
256,2020
257,2015
258,2020
259,2018
260,2020
261,2021
262,2021
263,2016
264,2014
265,2018
266,2020
268,2020
269,2015
270,2021
271,2021
272,2021
273,2021
274,2021
275,2021
276,2021
277,2021
278,2021
279,2021
280,2021
281,2016
282,2020
283,2021
284,2021
285,2013
286,2021
287,2021
288,2018
289,2019
290,2021
291,2021
292,2012
293,2021
294,2020
295,2021
296,2021
297,2021
298,2020
299,2021
300,2021
301,2013
302,2013
304,2021
306,2016
307,2021
308,2012
309,2021
310,2021
311,2021
312,2021
313,2009
315,2010
316,2011
317,2021
318,2021
319,2005
320,2021
321,2013
322,2008
323,2012
324,2020
327,2007
328,2016
329,2002
330,2009
331,2020
332,1999
334,2019
335,2006
336,2010
337,2007
338,2014
339,2021
340,2010
341,1999
345,2015
346,2008
347,2009
348,2019
349,2003
350,2000
351,2004
352,2016
353,2013
355,2011
356,2010
357,2004
359,2000
360,2010
361,2021
362,2018
363,2021
364,2021
365,2014
366,2021
367,2020
368,2009
369,2021
370,2021
371,2009
372,2021
373,2021
374,2013
375,2021
376,2021
377,2021
378,2019
379,2021
380,2021
381,2021
382,2021
383,2012
384,2021
385,2021
386,2021
387,2021
388,2021
389,2019
390,2019
391,2020
392,2012
393,2021
394,2021
395,2021
396,2021
397,2021
398,2021
399,2021
400,2021
401,2021
402,2021
403,2021
404,2021
405,2015
406,2013
407,2009
408,2011
409,2010
410,2013
411,2013
412,2013
413,2013
414,2012
415,2009
416,2013
417,2015
418,2019
419,2010
420,2012
421,2014
422,2011
423,2011
424,2012
425,2019
426,2021
427,2019
428,2021
429,2020
430,2021
431,2021
432,2021
433,2020
434,2020
435,2019
436,2021
437,2021
438,2020
439,2021
440,2021
441,2021
442,2021
443,1999
444,2021
445,2017
446,2017
447,2011
448,2012
449,2010
450,2009
451,2008
452,2021
453,2021
455,2021
456,2019
457,2021
458,2021
459,2021
460,2007
461,2019
462,2019
463,2021
464,2021
465,2021
466,2021
467,2021
468,2021
469,2019
470,2021
471,2021
472,2021
473,2020
474,2015
475,2019
476,2016
477,2021
478,2021
479,2021
480,2020
481,2021
482,2021
483,2021
484,2021
485,2021
486,2016
487,2021
488,2021
489,2017
490,2021
491,2017
492,2018
493,2021
494,2015
495,2019
496,2014
497,2021
498,2020
499,2021
500,2021
501,2020
502,2010
503,2021
504,2021
505,2020
506,2021
507,2019
508,2019
509,2019
510,2016
511,2017
512,2007
513,2018
514,2019
515,2019
516,2021
517,2017
518,2020
519,2020
520,2021
521,2021
522,2015
523,2019
524,2019
525,2018
526,2019
527,2016
528,2012
530,2015
531,2018
532,2019
533,2021
534,2019
535,2015
536,2018
537,2018
538,2021
539,2020
540,2020
541,2018
543,2020
544,2021
545,2020
546,2021
547,2021
548,2020
549,2020
550,2021
551,2021
552,2020
553,2019
554,2020
555,2013
556,2021
557,2018
558,2012
559,1997
560,2021
561,2002
562,1997
563,1999
564,1997
565,2020
566,2000
569,2019
570,2021
571,2021
572,2019
573,2008
574,2011
575,2010
576,2019
577,2021
578,2005
580,2021
582,2016
583,2011
584,2001
585,2018
587,2020
588,2018
589,2019
590,2016
591,2008
592,2010
593,2000
594,2009
595,1999
596,2019
597,2006
598,2010
599,2019
600,1997
604,2003
606,2006
607,2008
608,2002
609,2010
610,2003
611,2012
612,2009
613,2020
614,1998
615,1998
616,2019
617,2021
618,2021
619,2020
620,2019
621,2020
622,2019
623,2021
624,2021
625,2021
626,2021
627,2020
628,2021
629,2020
630,2012
631,2021
632,2019
633,2018
634,2019
635,2010
636,2021
637,2021
638,2021
639,2021
640,2021
641,2021
642,2021
643,2021
644,2021
645,2021
646,2021
647,2021
648,2021
649,2019
650,2016
651,2003
652,2004
653,2021
654,2014
655,2016
656,2015
657,2001
658,2021
659,2018
660,2021
661,2018
662,2018
663,2019
664,2020
665,2020
666,2020
667,2015
668,2018
669,2020
673,2019
674,2019
675,2018
676,2019
677,2020
678,2018
679,2018
680,2020
681,2018
682,2021
683,2021
684,2021
685,2021
686,2021
687,2021
688,2020
690,2021
691,2021
692,2021
693,2021
694,2019
695,2015
696,2021
697,2021
698,2020
699,2021
700,2021
701,2019
702,2012
703,2021
704,2018
705,2019
706,2021
707,2021
708,2016
709,2020
710,2021
711,2021
712,2020
713,2020
714,2021
715,2021
717,2021
718,2013
719,2021
720,2021
721,2020
722,2005
723,2014
724,2021
725,2021
726,2014
727,2020
728,2021
729,2021
730,2021
731,2021
732,2021
733,2016
734,2021
735,2021
736,2021
737,2021
738,2021
739,2021
740,2014
741,2012
742,2021
743,2014
744,2021
745,2019
746,2021
747,2013
748,2021
749,2021
750,2021
751,2018
752,2014
753,2007
754,2018
755,2021
756,2020
757,2021
758,2021
759,2015
760,2015
761,2021
762,2021
763,2021
764,2021
765,2021
766,2021
767,2021
768,2021
769,2020
770,2021
771,2021
772,2021
773,2019
774,2020
775,2012
776,2001
777,2009
778,2013
779,2000
780,2019
781,2021
782,1997
783,2021
784,2011
785,2021
786,2013
787,2003
788,2001
789,2015
790,2015
791,2008
792,2010
793,1997
794,2019
795,2012
796,2011
797,2001
798,1997
799,2004
800,2012
801,2011
802,2009
803,2006
804,2006
805,2021
806,2017
807,2017
808,2014
809,2004
811,2021
812,2001
815,2015
816,2005
817,2015
820,2021
821,2018
822,2019
823,2019
824,2018
825,2020
826,2021
827,2021
828,2016
829,2021
830,2021
831,2021
832,2021
833,2021
834,2021
835,2021
836,2021
837,2021
838,2021
839,2018
840,2021
841,2021
842,2021
843,2016
844,2021
845,2014
846,2015
847,2021
848,2021
849,2020
850,2021
851,2021
852,2021
853,2021
854,2021
855,2021
856,2020
857,2021
858,2009
859,2011
860,2020
861,2021
862,2021
863,2011
864,2006
865,2014
866,2017
867,1998
868,1997
869,2021
870,2021
871,2021
872,2016
873,2021
874,2021
875,2020
876,2021
877,2021
878,2021
879,2021
880,2021
881,2021
882,2021
883,2021
884,2021
885,2018
886,2020
887,2020
888,2021
889,2021
890,2021
891,2004
892,2018
893,2020
894,2021
895,2021
896,2021
897,2021
898,2020
899,2020
900,2021
901,2019
902,2021
903,2021
904,2017
905,2021
906,1999
907,2020
908,2021
909,2021
910,2021
911,2017
912,2021
913,2020
914,2017
915,2020
916,2013
917,2019
918,2021
919,2021
920,2020
921,2018
922,2018
923,2021
924,2020
925,2010
926,2006
927,2010
929,2017
930,2010
931,2005
932,2010
933,2009
934,2018
935,2012
936,2020
937,2017
938,2019
939,2013
940,2014
941,2013
942,2003
943,2008
944,2018
945,2020
947,2009
948,2018
949,2011
950,2009
951,2002
952,2000
953,2016
954,2018
956,2008
957,2021
958,2019
959,2021
960,2021
961,2021
962,2018
963,2021
964,2021
965,2021
966,2021
967,2021
968,2021
969,2014
970,2011
971,2018
972,2021
973,2020
974,2019
975,2021
976,2017
977,2016
978,2014
979,2013
980,2015
981,2004
982,2015
983,2021
984,2015
985,2015
986,2016
987,2019
988,2021
989,2017
990,2015
991,2020
992,2020
993,2021
994,2020
995,2001
996,2021
997,2021
998,2021
999,2021
1000,2020
1001,2015
1002,2021
1003,2021
1004,2021
1005,2013
1006,2018
1007,2017
1008,2019
1009,2020
1010,2019
1011,2014
1012,2021
1013,2016
1014,2019
1016,2011
1017,2010
1018,2008
1019,2001
1020,2004
1021,2010
1022,2007
1023,2021
1024,2021
1025,2021
1026,2021
