,release_year,Index
0,2020,0
1,2021,1
2,2021,2
3,2021,3
4,2021,4
5,2021,5
6,2021,6
7,2021,8
8,2021,9
9,2021,10
10,2021,11
11,2021,12
12,2021,13
13,2021,14
14,2021,15
15,2020,16
16,2020,17
17,2021,18
18,2021,19
19,2021,20
20,2018,21
21,2021,23
22,1998,24
23,2021,25
24,1997,26
25,2010,27
26,2013,28
27,2013,29
28,2021,30
29,2021,31
30,2020,32
31,2021,33
32,2020,34
33,2021,35
34,2021,36
35,2018,37
36,2017,38
37,2021,39
38,2021,40
39,2021,45
40,2012,46
41,2020,47
42,2001,48
43,2021,49
44,2014,50
45,2002,51
46,2003,52
47,2004,53
48,2001,54
49,2021,55
50,2011,56
51,2008,57
52,2009,58
53,2007,59
54,2010,60
55,2005,61
56,2006,62
57,2004,63
58,2021,64
59,2021,65
60,2014,66
61,2021,68
62,2015,69
63,2021,70
64,2021,71
65,2021,72
66,2018,73
67,2021,74
68,2021,75
69,2013,76
70,2021,77
71,2020,78
72,2021,79
73,2021,80
74,2021,81
75,2021,82
76,2021,83
77,2020,84
78,2021,85
79,2021,86
80,2019,87
81,2021,88
82,2017,89
83,2019,90
84,2021,91
85,2021,92
86,2021,93
87,2018,94
88,2021,95
89,2018,96
90,2021,97
91,2021,98
92,2021,99
93,2019,100
94,2021,101
95,2021,102
96,2020,103
97,2016,104
98,2017,105
99,2021,106
100,2018,107
101,2021,108
102,2021,109
103,2021,110
104,2021,111
105,2021,112
106,2021,113
107,2009,115
108,2015,116
109,2021,117
110,2017,118
111,2020,119
112,2021,120
113,2019,121
114,2003,122
115,2012,123
116,2013,124
117,2021,125
118,2020,126
119,2004,127
120,2017,128
121,2005,129
122,2021,130
123,2021,132
124,2015,133
125,2003,136
126,2001,137
127,2010,138
128,2014,140
129,2015,141
130,2007,142
131,2011,143
132,2021,147
133,2020,148
134,1998,149
135,1999,150
136,2005,151
137,2016,152
138,2016,153
139,2015,154
140,2010,156
141,2018,157
142,2003,158
143,2010,159
144,2017,162
145,2003,163
146,1999,164
147,2019,165
148,2008,167
149,2001,168
150,2006,169
151,1997,170
152,2017,171
153,2003,172
154,2015,173
155,2003,174
156,2014,178
157,2000,180
158,2021,181
159,2008,182
160,2021,184
161,2021,185
162,2021,186
163,2021,187
164,2008,188
165,2020,189
166,2021,190
167,2017,191
168,2008,192
169,2021,193
170,2002,194
171,2008,195
172,2021,196
173,2021,197
174,2021,198
175,2006,199
176,2004,200
177,2003,201
178,2005,202
179,2016,203
180,2012,204
181,2001,205
182,2010,206
183,2008,207
184,2010,208
185,2013,209
186,2011,210
187,2014,211
188,2016,212
189,2021,213
190,2021,214
191,2007,215
192,2011,216
193,2011,217
194,2021,218
195,2021,219
196,2021,220
197,2021,221
198,2021,222
199,2021,223
200,2021,224
201,2021,225
202,2021,226
203,2020,227
204,2014,228
205,2020,229
206,2021,230
207,2021,231
208,2019,232
209,2021,233
210,2021,234
211,2021,235
212,2021,236
213,2021,237
214,2021,238
215,2021,239
216,2021,240
217,2021,241
218,2021,242
219,2021,243
220,2018,244
221,2021,245
222,2021,246
223,2021,247
224,2021,248
225,2021,249
226,2020,250
227,2011,251
228,2021,252
229,2021,254
230,2021,255
231,2020,256
232,2015,257
233,2020,258
234,2018,259
235,2020,260
236,2021,261
237,2021,262
238,2016,263
239,2014,264
240,2018,265
241,2020,266
242,2020,268
243,2015,269
244,2021,270
245,2021,271
246,2021,272
247,2021,273
248,2021,274
249,2021,275
250,2021,276
251,2021,277
252,2021,278
253,2021,279
254,2021,280
255,2016,281
256,2020,282
257,2021,283
258,2021,284
259,2013,285
260,2021,286
261,2021,287
262,2018,288
263,2019,289
264,2021,290
265,2021,291
266,2012,292
267,2021,293
268,2020,294
269,2021,295
270,2021,296
271,2021,297
272,2020,298
273,2021,299
274,2021,300
275,2013,301
276,2013,302
277,2021,304
278,2016,306
279,2021,307
280,2012,308
281,2021,309
282,2021,310
283,2021,311
284,2021,312
285,2009,313
286,2010,315
287,2011,316
288,2021,317
289,2021,318
290,2005,319
291,2021,320
292,2013,321
293,2008,322
294,2012,323
295,2020,324
296,2007,327
297,2016,328
298,2002,329
299,2009,330
300,2020,331
301,1999,332
302,2019,334
303,2006,335
304,2010,336
305,2007,337
306,2014,338
307,2021,339
308,2010,340
309,1999,341
310,2015,345
311,2008,346
312,2009,347
313,2019,348
314,2003,349
315,2000,350
316,2004,351
317,2016,352
318,2013,353
319,2011,355
320,2010,356
321,2004,357
322,2000,359
323,2010,360
324,2021,361
325,2018,362
326,2021,363
327,2021,364
328,2014,365
329,2021,366
330,2020,367
331,2009,368
332,2021,369
333,2021,370
334,2009,371
335,2021,372
336,2021,373
337,2013,374
338,2021,375
339,2021,376
340,2021,377
341,2019,378
342,2021,379
343,2021,380
344,2021,381
345,2021,382
346,2012,383
347,2021,384
348,2021,385
349,2021,386
350,2021,387
351,2021,388
352,2019,389
353,2019,390
354,2020,391
355,2012,392
356,2021,393
357,2021,394
358,2021,395
359,2021,396
360,2021,397
361,2021,398
362,2021,399
363,2021,400
364,2021,401
365,2021,402
366,2021,403
367,2021,404
368,2015,405
369,2013,406
370,2009,407
371,2011,408
372,2010,409
373,2013,410
374,2013,411
375,2013,412
376,2013,413
377,2012,414
378,2009,415
379,2013,416
380,2015,417
381,2019,418
382,2010,419
383,2012,420
384,2014,421
385,2011,422
386,2011,423
387,2012,424
388,2019,425
389,2021,426
390,2019,427
391,2021,428
392,2020,429
393,2021,430
394,2021,431
395,2021,432
396,2020,433
397,2020,434
398,2019,435
399,2021,436
400,2021,437
401,2020,438
402,2021,439
403,2021,440
404,2021,441
405,2021,442
406,1999,443
407,2021,444
408,2017,445
409,2017,446
410,2011,447
411,2012,448
412,2010,449
413,2009,450
414,2008,451
415,2021,452
416,2021,453
417,2021,455
418,2019,456
419,2021,457
420,2021,458
421,2021,459
422,2007,460
423,2019,461
424,2019,462
425,2021,463
426,2021,464
427,2021,465
428,2021,466
429,2021,467
430,2021,468
431,2019,469
432,2021,470
433,2021,471
434,2021,472
435,2020,473
436,2015,474
437,2019,475
438,2016,476
439,2021,477
440,2021,478
441,2021,479
442,2020,480
443,2021,481
444,2021,482
445,2021,483
446,2021,484
447,2021,485
448,2016,486
449,2021,487
450,2021,488
451,2017,489
452,2021,490
453,2017,491
454,2018,492
455,2021,493
456,2015,494
457,2019,495
458,2014,496
459,2021,497
460,2020,498
461,2021,499
462,2021,500
463,2020,501
464,2010,502
465,2021,503
466,2021,504
467,2020,505
468,2021,506
469,2019,507
470,2019,508
471,2019,509
472,2016,510
473,2017,511
474,2007,512
475,2018,513
476,2019,514
477,2019,515
478,2021,516
479,2017,517
480,2020,518
481,2020,519
482,2021,520
483,2021,521
484,2015,522
485,2019,523
486,2019,524
487,2018,525
488,2019,526
489,2016,527
490,2012,528
491,2015,530
492,2018,531
493,2019,532
494,2021,533
495,2019,534
496,2015,535
497,2018,536
498,2018,537
499,2021,538
500,2020,539
501,2020,540
502,2018,541
503,2020,543
504,2021,544
505,2020,545
506,2021,546
507,2021,547
508,2020,548
509,2020,549
510,2021,550
511,2021,551
512,2020,552
513,2019,553
514,2020,554
515,2013,555
516,2021,556
517,2018,557
518,2012,558
519,1997,559
520,2021,560
521,2002,561
522,1997,562
523,1999,563
524,1997,564
525,2020,565
526,2000,566
527,2019,569
528,2021,570
529,2021,571
530,2019,572
531,2008,573
532,2011,574
533,2010,575
534,2019,576
535,2021,577
536,2005,578
537,2021,580
538,2016,582
539,2011,583
540,2001,584
541,2018,585
542,2020,587
543,2018,588
544,2019,589
545,2016,590
546,2008,591
547,2010,592
548,2000,593
549,2009,594
550,1999,595
551,2019,596
552,2006,597
553,2010,598
554,2019,599
555,1997,600
556,2003,604
557,2006,606
558,2008,607
559,2002,608
560,2010,609
561,2003,610
562,2012,611
563,2009,612
564,2020,613
565,1998,614
566,1998,615
567,2019,616
568,2021,617
569,2021,618
570,2020,619
571,2019,620
572,2020,621
573,2019,622
574,2021,623
575,2021,624
576,2021,625
577,2021,626
578,2020,627
579,2021,628
580,2020,629
581,2012,630
582,2021,631
583,2019,632
584,2018,633
585,2019,634
586,2010,635
587,2021,636
588,2021,637
589,2021,638
590,2021,639
591,2021,640
592,2021,641
593,2021,642
594,2021,643
595,2021,644
596,2021,645
597,2021,646
598,2021,647
599,2021,648
600,2019,649
601,2016,650
602,2003,651
603,2004,652
604,2021,653
605,2014,654
606,2016,655
607,2015,656
608,2001,657
609,2021,658
610,2018,659
611,2021,660
612,2018,661
613,2018,662
614,2019,663
615,2020,664
616,2020,665
617,2020,666
618,2015,667
619,2018,668
620,2020,669
621,2019,673
622,2019,674
623,2018,675
624,2019,676
625,2020,677
626,2018,678
627,2018,679
628,2020,680
629,2018,681
630,2021,682
631,2021,683
632,2021,684
633,2021,685
634,2021,686
635,2021,687
636,2020,688
637,2021,690
638,2021,691
639,2021,692
640,2021,693
641,2019,694
642,2015,695
643,2021,696
644,2021,697
645,2020,698
646,2021,699
647,2021,700
648,2019,701
649,2012,702
650,2021,703
651,2018,704
