,Genres,Start,Title
0,Action,2001,15
1,Action,2002,10
2,Action,2003,15
3,Action,2004,13
4,Action,2005,12
5,Action,2006,10
6,Action,2007,17
7,Action,2008,20
8,Action,2009,18
9,Action,2010,23
10,Action,2011,32
11,Action,2012,37
12,Action,2013,36
13,Action,2014,34
14,Action,2015,43
15,Action,2016,46
16,Action,2017,47
17,Action,2018,66
18,Action,2019,63
19,Action,2020,1
20,Adventure,2001,11
21,Adventure,2002,16
22,Adventure,2003,12
23,Adventure,2004,18
24,Adventure,2005,12
25,Adventure,2006,8
26,Adventure,2007,11
27,Adventure,2008,14
28,Adventure,2009,12
29,Adventure,2010,15
30,Adventure,2011,22
31,Adventure,2012,19
32,Adventure,2013,28
33,Adventure,2014,22
34,Adventure,2015,34
35,Adventure,2016,32
36,Adventure,2017,30
37,Adventure,2018,49
38,Adventure,2019,47
39,Animation,2001,12
40,Animation,2002,13
41,Animation,2003,13
42,Animation,2004,15
43,Animation,2005,14
44,Animation,2006,15
45,Animation,2007,11
46,Animation,2008,18
47,Animation,2009,14
48,Animation,2010,17
49,Animation,2011,23
50,Animation,2012,31
51,Animation,2013,26
52,Animation,2014,24
53,Animation,2015,36
54,Animation,2016,27
55,Animation,2017,27
56,Animation,2018,49
57,Animation,2019,50
71,Comedy,2001,23
72,Comedy,2002,22
73,Comedy,2003,30
74,Comedy,2004,28
75,Comedy,2005,36
76,Comedy,2006,30
77,Comedy,2007,39
78,Comedy,2008,27
79,Comedy,2009,48
80,Comedy,2010,46
81,Comedy,2011,65
82,Comedy,2012,60
83,Comedy,2013,73
84,Comedy,2014,64
85,Comedy,2015,91
86,Comedy,2016,101
87,Comedy,2017,91
88,Comedy,2018,93
89,Comedy,2019,136
90,Crime,2001,9
91,Crime,2002,12
92,Crime,2003,14
93,Crime,2004,15
94,Crime,2005,14
95,Crime,2006,7
96,Crime,2007,18
97,Crime,2008,19
98,Crime,2009,17
99,Crime,2010,32
100,Crime,2011,33
101,Crime,2012,21
102,Crime,2013,41
103,Crime,2014,40
104,Crime,2015,47
105,Crime,2016,59
106,Crime,2017,65
107,Crime,2018,75
108,Crime,2019,94
109,Crime,2020,6
128,Drama,2001,27
129,Drama,2002,26
130,Drama,2003,27
131,Drama,2004,39
132,Drama,2005,36
133,Drama,2006,35
134,Drama,2007,51
135,Drama,2008,46
136,Drama,2009,57
137,Drama,2010,62
138,Drama,2011,79
139,Drama,2012,68
140,Drama,2013,100
141,Drama,2014,107
142,Drama,2015,121
143,Drama,2016,153
144,Drama,2017,163
145,Drama,2018,196
146,Drama,2019,234
147,Drama,2020,9
