,character,show,kiss?
0,Adam,Voltron: Legendary Defender,False
1,Adora,She-Ra and the Princesses of Power,True
2,Alexandrite,Steven Universe,False
3,Alice,The Loud House,False
4,Amaya,The Dragon Prince,False
5,Amethyst,Steven Universe,False
6,Angel Jose,Craig of the Creek,False
7,Annika,The Dragon Prince,True
8,BL1P,Danger & Eggs,False
9,Beefhouse,Twelve Forever,True
10,Bismuth,Steven Universe,False
11,Black Strategy,OK K.O.! Let's Be Heroes,False
12,Blaytz,Voltron: Legendary Defender,False
13,Blue Diamond,Steven Universe,False
14,Blue Pearl,Steven Universe,False
15,Blue Power,OK K.O.! Let's Be Heroes,False
16,Bow,She-Ra and the Princesses of Power,False
17,Carrot Propulsion,Ready Jet Go!,False
18,Catra,She-Ra and the Princesses of Power,True
19,Celery Propulsion,Ready Jet Go!,False
20,Conelly,Twelve Forever,False
21,Corporate Raider Emanual,Danger & Eggs,False
22,Corporate Raider Gary,Danger & Eggs,False
23,Courtney,Craig of the Creek,True
24,Crimson Waste Barmaid,She-Ra and the Princesses of Power,False
25,Curtis,Voltron: Legendary Defender,True
26,D.D. Danger,Danger & Eggs,False
27,Dana Dufresne,The Loud House,False
28,Defense Zircon,Steven Universe,False
29,Double Trouble,She-Ra and the Princesses of Power,False
30,Emerald,Steven Universe,False
31,Enid,OK K.O.! Let's Be Heroes,True
32,Entrapta,She-Ra and the Princesses of Power,False
33,Ethari,The Dragon Prince,True
34,Eyeball,Steven Universe,False
35,Falcon,She-Ra and the Princesses of Power,False
36,Galaxander,Twelve Forever,False
37,Garnet,Steven Universe,False
38,George,She-Ra and the Princesses of Power,False
39,Glimmer,She-Ra and the Princesses of Power,False
40,Gomez,Danger & Eggs,False
41,Green Guts,OK K.O.! Let's Be Heroes,False
42,Gregg,OK K.O.! Let's Be Heroes,False
43,Harold McBride,The Loud House,False
44,Harold Smiley,Steven Universe,False
45,Holly Blue Agate,Steven Universe,False
46,Howard McBride,The Loud House,False
47,Huntura,She-Ra and the Princesses of Power,False
48,Janai,The Dragon Prince,False
49,Jasmine Williams,Craig of the Creek,False
50,Jasper,Steven Universe,False
51,Jet Propulsion,Ready Jet Go!,False
52,Jewelstar,She-Ra and the Princesses of Power,False
53,Joff,OK K.O.! Let's Be Heroes,False
54,Kat,Craig of the Creek,False
55,Kazi,The Dragon Prince,False
56,Kelsey Pokoly,Craig of the Creek,False
57,Kiki Pizza,Steven Universe,False
58,Kyle,She-Ra and the Princesses of Power,False
59,Lainey,The Loud House,False
60,Lance,She-Ra and the Princesses of Power,False
61,Lapis Lazuli,Steven Universe,False
62,Lars Barriga,Steven Universe,False
63,Laura Mercer,Craig of the Creek,False
64,Layla,Danger & Eggs,False
65,Lemon Jade,Steven Universe,False
66,Light Hope,She-Ra and the Princesses of Power,False
67,Lonnie,She-Ra and the Princesses of Power,False
68,Lord Boxman,OK K.O.! Let's Be Heroes,False
69,Luna Loud,The Loud House,False
70,Mack,Twelve Forever,True
71,Malachite,Steven Universe,False
72,Mara,She-Ra and the Princesses of Power,False
73,Merkid,Craig of the Creek,False
74,Mermista,She-Ra and the Princesses of Power,False
75,Miguel,The Loud House,False
76,Milo,Danger & Eggs,False
77,Mystery Girl,Steven Universe,False
78,Neha,The Dragon Prince,True
79,Nephrite,Steven Universe,False
80,Netossa,She-Ra and the Princesses of Power,False
81,Nick Army,OK K.O.! Let's Be Heroes,False
82,Opal,Steven Universe,False
83,Pearl,Steven Universe,False
84,Perfuma,She-Ra and the Princesses of Power,False
85,Peridot,Steven Universe,False
86,Professor Venomous,OK K.O.! Let's Be Heroes,False
87,Prosecuting Zircon,Steven Universe,False
88,Pullstring,Craig of the Creek,False
89,Quentin Frowney,Steven Universe,False
90,Rad,Danger & Eggs,False
91,Radicles,OK K.O.! Let's Be Heroes,False
92,Rainbow Quartz 2.0,Steven Universe,False
93,Raj,Craig of the Creek,False
94,Red Action,OK K.O.! Let's Be Heroes,True
95,Red Constellation,Twelve Forever,False
96,Reggie,Twelve Forever,False
97,Reina,Danger & Eggs,False
98,Rhodonite,Steven Universe,False
99,Rogelio,She-Ra and the Princesses of Power,False
100,Rose Quartz,Steven Universe,False
101,Ruby,Steven Universe,True
102,Runaan,The Dragon Prince,True
103,Sadie Miller,Steven Universe,False
104,Sam Sharp,The Loud House,False
105,Sapphire,Steven Universe,True
106,Sardonyx,Steven Universe,False
107,Scorpia,She-Ra and the Princesses of Power,False
108,Sea Hawk,She-Ra and the Princesses of Power,False
109,Shawn,Craig of the Creek,False
110,Smoky Quartz,Steven Universe,False
111,Spinach Propulsion,Ready Jet Go!,False
112,Spinnerella,She-Ra and the Princesses of Power,False
113,Stacks,Craig of the Creek,False
114,Steven Universe,Steven Universe,False
115,Stevonnie,Steven Universe,False
116,Sugilite,Steven Universe,False
117,Sunstone,Steven Universe,False
118,Sweet,Danger & Eggs,False
119,Tabitha,Craig of the Creek,True
120,"Takashi ""Shiro"" Shirogane",Voltron: Legendary Defender,True
121,The Mayor,Danger & Eggs,False
122,The Secret Keeper,Craig of the Creek,False
123,Topaz,Steven Universe,False
124,Waiter,Voltron: Legendary Defender,False
125,White Diamond,Steven Universe,False
126,Yellow Diamond,Steven Universe,False
127,Yellow Technique,OK K.O.! Let's Be Heroes,False
128,Zadie,Danger & Eggs,False
129,Zerk,Ready Jet Go!,False
130,Zucchini,Ready Jet Go!,False
