,Name,paid,category,average_paid
14,Brad Pitt,229.5,Actors,25.5
13,Angelina Jolie,231.5,Actresses,23.15
12,Tom Hanks,244.0,Actors,40.666666666666664
11,Akshay Kumar,253.5,Actors,42.25
10,Mark Wahlberg,270.0,Actors,45.0
9,George Clooney,308.0,Actors,77.0
8,Leonardo DiCaprio,319.0,Actors,39.875
7,Jackie Chan,349.0,Actors,49.857142857142854
6,Sofia Vergara,369.0,Television actresses,36.9
5,Will Smith,423.5,Actors,38.5
4,Johnny Depp,463.0,Actors,51.44444444444444
3,Robert Downey Jr.,511.0,Actors,56.77777777777778
2,Tom Cruise,526.0,Actors,40.46153846153846
1,Adam Sandler,566.0,Actors,40.42857142857143
0,Dwayne Johnson,595.9,Actors,66.21111111111111
